record_id,animal_id,date,weight_kg
W001,A001,2025-04-10,12.3
W002,A001,2025-05-10,28.5
W003,A001,2025-06-10,48.7
W004,A001,2025-07-10,72.1
W005,A002,2025-04-12,11.8
W006,A002,2025-05-12,27.2
W007,A002,2025-06-12,46.9
W008,A002,2025-07-12,70.5
W009,A003,2025-05-01,10.5
W010,A003,2025-06-01,26.8
W011,A003,2025-07-01,45.3
W012,A004,2025-07-15,0.42
W013,A004,2025-08-15,1.85
W014,A004,2025-09-15,2.91
W015,A005,2025-07-15,0.40
W016,A005,2025-08-15,1.78
W017,A006,2025-08-01,0.38
W018,A006,2025-09-01,1.92
W019,A007,2025-06-20,13.1
W020,A007,2025-07-20,30.4
W021,A007,2025-08-20,52.6
W022,A008,2025-06-22,12.7
W023,A008,2025-07-22,29.8
W024,A009,2025-09-10,0.41
W025,A009,2025-10-10,1.88
W026,A010,2025-09-10,0.39
W027,A010,2025-10-10,1.82
W028,A011,2025-10-01,11.2
W029,A011,2025-11-01,27.6
W030,A012,2025-10-03,10.9
W031,A012,2025-11-03,26.4
W032,A013,2025-11-01,0.40
W033,A013,2025-12-01,1.90
W034,A014,2025-11-01,0.38
W035,A015,2025-12-15,11.5
W036,A015,2026-01-15,28.2
